logo,empresa,ticker,mercado,comision,minimo,horario,fraccion,ticker.yf,Validado,Nombre,Sector
https://logos.xtb.com/skyt_us.svg,Skywater Technology Inc,SKYT.US,NewYork,-,10 USD,-,No,SKYT,True,"SkyWater Technology, Inc.",Technology
https://logos.xtb.com/skyw_us.svg,SkyWest Inc,SKYW.US,NewYork,-,10 USD,-,No,SKYW,True,"SkyWest, Inc.",Industrials
https://logos.xtb.com/skyx_us.svg,SKYX Platforms Corp,SKYX.US,NewYork,-,10 USD,-,No,SKYX,True,SKYX Platforms Corp.,Industrials
https://logos.xtb.com/sl_it.svg,Sanlorenzo SpA,SL.IT,Milan,-,10 EUR,-,No,SL.MI,True,Sanlorenzo S.p.A.,Consumer Cyclical
https://logos.xtb.com/sla_uk.svg,Standard Life Aberdeen PLC,SLA.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SLA.L,False,False,False
https://logos.xtb.com/slab_us.svg,Silicon Laboratories Inc,SLAB.US,NewYork,-,10 USD,-,Sí,SLAB,True,Silicon Laboratories Inc.,Technology
https://logos.xtb.com/slb_us.svg,Schlumberger Ltd,SLB.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLB,True,SLB N.V.,Energy
https://logos.xtb.com/slben_pt.svg,Sport Lisboa e Benfica Futebol SAD,SLBEN.PT,Lisbon,-,10 EUR,-,No,SLBEN.LS,True,"Sport Lisboa e Benfica - Futebol, SAD",Communication Services
https://logos.xtb.com/sldb_us.svg,Solid Biosciences Inc,SLDB.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLDB,True,Solid Biosciences Inc.,Healthcare
https://logos.xtb.com/sldp_us.svg,Solid Power Inc,SLDP.US,NewYork,-,10 USD,-,No,SLDP,True,"Solid Power, Inc.",Consumer Cyclical
https://logos.xtb.com/slf_us.svg,Sun Life Financial Inc,SLF.US,NewYork,-,10 USD,-,Sí,SLF,True,Sun Life Financial Inc.,Financial Services
https://logos.xtb.com/slg_us.svg,SL Green Realty Corp,SLG.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLG,True,SL Green Realty Corp.,Real Estate
https://logos.xtb.com/slgl_us.svg,Sol Gel Technologies Ltd,SLGL.US,NewYork,-,10 USD,-,No,SLGL,True,Sol-Gel Technologies Ltd.,Healthcare
https://logos.xtb.com/slgn_us.svg,Silgan Holdings Inc,SLGN.US,NewYork,-,10 USD,-,Sí,SLGN,True,Silgan Holdings Inc.,Consumer Cyclical
https://logos.xtb.com/slhn_ch.svg,Swiss Life Holding AG,SLHN.CH,Zurich,0 EUR*,10 CHF,09:00 - 17:20,Sí,SLHN.SW,True,Swiss Life Holding AG,Financial Services
https://logos.xtb.com/sli_us.svg,Standard Lithium Ltd,SLI.US,NewYork,-,10 USD,-,No,SLI,True,Standard Lithium Ltd.,Basic Materials
https://logos.xtb.com/slm_us.svg,SLM Corp,SLM.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLM,True,SLM Corporation,Financial Services
https://logos.xtb.com/sln_us.svg,Silence Therapeutics PLC,SLN.US,NewYork,-,10 USD,-,No,SLN,True,Silence Therapeutics plc,Healthcare
https://logos.xtb.com/slng_us.svg,Stabilis Solutions Inc,SLNG.US,NewYork,-,10 USD,-,No,SLNG,True,"Stabilis Solutions, Inc.",Energy
https://logos.xtb.com/slnh_us.svg,Soluna Holdings Inc,SLNH.US,NewYork,-,10 USD,-,No,SLNH,True,"Soluna Holdings, Inc.",Financial Services
https://logos.xtb.com/slno_us.svg,Soleno Therapeutics Inc,SLNO.US,NewYork,-,10 USD,-,Sí,SLNO,True,"Soleno Therapeutics, Inc.",Healthcare
https://logos.xtb.com/slp_us.svg,Simulations Plus Inc,SLP.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLP,True,"Simulations Plus, Inc.",Healthcare
https://logos.xtb.com/slr_es.svg,Solaria Energia y Medio Ambiente SA,SLR.ES,Madrid,0 EUR*,10 EUR,09:00 - 17:30,Sí,SLR.MC,True,"Solaria Energía y Medio Ambiente, S.A.",Utilities
https://logos.xtb.com/slrc_us.svg,SLR Investment Corp,SLRC.US,NewYork,-,10 USD,-,No,SLRC,True,SLR Investment Corp.,Financial Services
https://logos.xtb.com/slrx_us.svg,Salarius Pharmaceuticals Inc,SLRX.US,NewYork,-,10 USD,-,No,SLRX,True,"Salarius Pharmaceuticals, Inc.",Healthcare
https://logos.xtb.com/sls_us.svg,Sellas Life Sciences Group Inc,SLS.US,NewYork,-,10 USD,-,No,SLS,True,"SELLAS Life Sciences Group, Inc.",Healthcare
https://logos.xtb.com/slsa_de.svg,Solutiance AG,SLSA.DE,Frankfurt,-,10 EUR,-,No,SLSA.DE,True,Solutiance AG,Industrials
https://logos.xtb.com/slt_pl.svg,Saule Technologies SA,SLT.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,SLT.WA,True,"SLT.WA,0P0000RUDV,25982",No especificado
https://logos.xtb.com/slv_pl.svg,Selvita SA,SLV.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,SLV.WA,True,Selvita S.A.,Healthcare
https://logos.xtb.com/slvm_us.svg,Sylvamo Corp,SLVM.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SLVM,True,Sylvamo Corporation,Basic Materials
https://logos.xtb.com/slxn_us.svg,Silexion Therapeutics Corp,SLXN.US,NewYork,-,10 USD,-,No,SLXN,True,Silexion Therapeutics Corp,Healthcare
https://logos.xtb.com/slyg_de.svg,Shelly Group AD,SLYG.DE,Frankfurt,-,10 EUR,-,No,SLYG.DE,True,Shelly Group SE,Industrials
